DATE,XTEXVA01KRM667S
2010-06-01,40409686298.2083
2010-07-01,40117716859.0732
2010-08-01,38233318956.9127
2010-09-01,39717503310.016
2010-10-01,42329186814.2614
2010-11-01,40287746771.701996
2010-12-01,43699352204.192
2011-01-01,47455010597.6257
2011-02-01,42855993629.996704
2011-03-01,46070750387.067795
2011-04-01,47761610797.5494
2011-05-01,46467585524.0663
2011-06-01,45684654926.6052
2011-07-01,48141567384.2808
2011-08-01,48119708502.0556
2011-09-01,46878390653.5487
2011-10-01,45299145937.047104
2011-11-01,45564437048.7771
2011-12-01,46363618788.610504
2012-01-01,44946765126.6748
2012-02-01,50042180163.0848
2012-03-01,46497290271.2702
2012-04-01,44602386816.45609
2012-05-01,46811302562.840294
2012-06-01,45700013363.5117
2012-07-01,44285816187.0462
2012-08-01,45146121165.1498
2012-09-01,45454396044.2292
2012-10-01,46280160644.8704
2012-11-01,46429906821.7704
2012-12-01,44743303980.1446
2013-01-01,48182875380.4579
2013-02-01,47043726221.7022
2013-03-01,45461553677.4239
2013-04-01,45401028964.383896
2013-05-01,47965499079.690605
2013-06-01,45464778908.5586
2013-07-01,45609241226.6812
2013-08-01,48004066090.9841
2013-09-01,45295792645.816
2013-10-01,48692696304.2905
2013-11-01,47429227006.2267
2013-12-01,46929797761.5281
2014-01-01,48720894134.269005
2014-02-01,47193492812.984505
2014-03-01,47698343588.3143
2014-04-01,48861750552.6548
2014-05-01,47939696609.7835
2014-06-01,46327978565.9903
2014-07-01,47930817898.61
2014-08-01,47821781635.5056
2014-09-01,47909077037.4375
2014-10-01,49822519592.456505
2014-11-01,46312158895.2678
2014-12-01,48093156889.0102
2015-01-01,48406942547.6428
2015-02-01,45634236435.2466
2015-03-01,45512598329.9597
2015-04-01,44884071307.0155
2015-05-01,42856980507.81
2015-06-01,45191073584.6378
2015-07-01,44900483995.6244
2015-08-01,41130238200.9878
2015-09-01,42898461919.0545
2015-10-01,42815418566.0635
2015-11-01,43298927838.0672
2015-12-01,41660220760.706505
2016-01-01,38687589245.8919
2016-02-01,39752512093.7539
2016-03-01,41664364681.1515
2016-04-01,39799856683.4988
2016-05-01,40641724059.8808
2016-06-01,43338972120.124
2016-07-01,40777258593.99
2016-08-01,41359068779.692894
2016-09-01,40781467539.422104
2016-10-01,41166020395.3789
2016-11-01,44909202545.8202
2016-12-01,43802319761.0532
2017-01-01,43397670071.0809
2017-02-01,47219163900.0364
2017-03-01,47680185580.8088
2017-04-01,48792612838.3079
2017-05-01,46110014701.8628
2017-06-01,49588911719.975
2017-07-01,47945011943.9934
2017-08-01,49447575742.922
2017-09-01,53205053853.9953
2017-10-01,45438068903.9607
2017-11-01,47915806315.2827
2017-12-01,49206073689.9402
2018-01-01,51146910922.222404
2018-02-01,50381229500.1457
2018-03-01,48980915805.1956
2018-04-01,49022050546.401
2018-05-01,51108076878.9738
2018-06-01,50129706362.9574
